Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
8010,70,RL,52,19426,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8,3,2009,2006,Hip,CompShg,VinylSd,HdBoard,BrkFace,0,Ex,TA,PConc,Ex,TA,Av,GLQ,1113,Unf,109,283,1303,GasA,Ex,Y,SBrkr,1584,537,30,1914,0,0,2,1,2,1,Fa,6,Typ,2,TA,Attchd,2007,Fin,3,779,TA,TA,Y,286,172,3,2,66,46,NA,NA,NA,156,8,2010,New,Normal,347768
8011,90,RL,61,1581,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,8,1955,2006,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,Gd,TA,No,Unf,73,Unf,123,1395,1108,GasA,Ex,Y,SBrkr,983,483,58,1622,1,0,1,1,2,1,TA,7,Typ,1,NA,Attchd,1968,Fin,1,307,TA,TA,Y,171,2,53,55,28,62,NA,NA,NA,468,11,2009,WD,Normal,213256
8012,136,RM,79,10342,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,Twnhs,1.5Fin,5,5,1920,1953,Gable,CompShg,BrkFace,Stucco,None,0,TA,TA,CBlock,TA,TA,No,GLQ,790,Unf,332,780,1437,GasA,TA,Y,SBrkr,942,615,82,1667,1,0,1,1,2,1,TA,6,Typ,1,Gd,Attchd,1992,Unf,3,769,NA,TA,Y,46,51,21,13,25,19,NA,NA,NA,280,4,2008,WD,Normal,164817
8013,33,RL,73,14872,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,1999,1973,Hip,CompShg,Plywood,Wd Sdng,None,0,Gd,TA,PConc,Gd,TA,No,Unf,37,Unf,124,799,1152,GasA,TA,Y,SBrkr,1203,354,47,1538,0,0,2,0,2,1,Gd,6,Typ,0,NA,Attchd,1961,Fin,2,709,TA,TA,Y,250,145,74,4,2,34,NA,NA,NA,866,9,2008,WD,Normal,212968
8014,111,RL,66,8586,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,1977,1963,Hip,CompShg,VinylSd,VinylSd,None,1031,TA,TA,PConc,TA,TA,No,BLQ,577,Unf,24,507,1054,GasA,TA,Y,SBrkr,832,500,63,1429,0,0,2,0,2,1,Gd,6,Typ,0,NA,Detchd,2006,NA,0,90,TA,TA,Y,88,25,10,7,31,68,NA,NA,NA,354,4,2007,WD,Normal,144572
8015,65,RL,NA,2902,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,TwnhsE,1Story,5,8,1947,1964,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,Gd,Rec,1216,Unf,162,38,584,GasA,Ex,Y,SBrkr,809,81,26,554,1,0,1,0,2,1,TA,3,Typ,1,Gd,Detchd,2007,Fin,1,230,TA,TA,Y,175,36,10,25,131,13,NA,MnPrv,NA,426,11,2007,WD,Normal,127971
8016,43,RL,21,25946,Pave,NA,Reg,Lvl,AllPub,Inside,Sev,Timber,Norm,Norm,1Fam,1Story,8,6,1991,1998,Gable,CompShg,VinylSd,VinylSd,None,0,Ex,TA,CBlock,TA,TA,No,Unf,181,Unf,3,1480,1577,GasA,Ex,Y,SBrkr,1489,589,7,2227,1,0,2,0,3,1,Gd,7,Typ,0,NA,NA,1959,NA,2,379,TA,TA,Y,160,61,20,9,25,11,NA,NA,NA,874,7,2007,WD,Normal,319748
8017,33,RL,60,20127,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,7,4,1964,1989,Gable,CompShg,Plywood,Plywood,BrkFace,164,Gd,TA,CBlock,Ex,TA,No,Unf,198,Unf,139,871,874,GasA,TA,Y,SBrkr,1472,235,95,1720,1,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,1950,RFn,1,357,TA,TA,Y,282,99,90,76,32,25,NA,NA,NA,438,6,2007,WD,Normal,188690
8018,99,RL,63,10039,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,SLvl,7,8,1950,1996,Gable,CompShg,MetalSd,Wd Sdng,None,0,TA,TA,CBlock,Gd,TA,No,GLQ,81,Unf,128,268,654,GasA,Ex,Y,SBrkr,1069,633,50,1799,0,0,2,1,2,1,Gd,6,Typ,1,TA,Attchd,1925,Unf,2,697,TA,TA,Y,54,38,67,44,80,129,NA,NA,NA,735,4,2009,WD,Normal,161007
8019,94,RL,60,1796,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,7,7,1975,1978,Gable,CompShg,MetalSd,CmentBd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,50,ALQ,296,1136,1303,GasA,Ex,Y,SBrkr,1183,628,11,1680,0,0,2,0,3,1,Gd,7,Typ,0,NA,BuiltIn,2002,RFn,2,508,TA,TA,Y,13,107,82,14,70,25,NA,NA,NA,325,7,2007,WD,Normal,187818
8020,95,RL,69,24017,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,5,4,1962,1989,Gable,CompShg,Stucco,Wd Sdng,BrkFace,286,TA,TA,CBlock,TA,TA,No,Unf,31,Unf,233,1551,1424,GasA,TA,Y,SBrkr,1342,497,24,1705,0,1,2,1,3,1,TA,6,Typ,1,TA,Attchd,1994,Unf,3,930,TA,TA,Y,108,10,59,12,16,48,NA,NA,NA,280,2,2007,WD,Normal,183307
8021,111,RL,60,20962,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,7,5,2007,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,Gd,TA,PConc,Gd,TA,NA,GLQ,640,Unf,25,78,820,GasA,Ex,Y,SBrkr,1092,528,1,1408,1,0,2,1,2,1,Fa,5,Typ,1,TA,Detchd,1939,Unf,3,805,TA,TA,Y,277,115,63,45,21,5,NA,NA,NA,888,11,2010,WD,Normal,249377
8022,61,RL,52,25039,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SLvl,9,6,1975,2003,Gable,CompShg,VinylSd,VinylSd,Stone,1600,Ex,TA,CBlock,Gd,TA,No,Unf,168,Unf,63,806,1206,GasA,Ex,Y,SBrkr,1903,1240,59,3122,0,0,3,0,3,1,TA,12,Typ,2,Fa,Attchd,1974,RFn,3,715,TA,TA,Y,248,181,107,34,39,7,NA,NA,NA,104,7,2007,WD,Normal,370006
8023,63,RL,90,7291,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,5,6,1977,1967,Gable,CompShg,MetalSd,Plywood,BrkFace,172,TA,TA,CBlock,TA,TA,No,ALQ,456,Unf,246,323,1022,GasA,Ex,Y,SBrkr,1276,354,96,1575,0,0,1,1,4,1,TA,6,Typ,1,Gd,Attchd,1926,Fin,2,440,TA,TA,Y,247,13,51,24,72,49,NA,NA,NA,73,2,2007,WD,Normal,178167
8024,59,RL,85,13589,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1.5Fin,7,7,1937,1978,Gable,CompShg,VinylSd,HdBoard,BrkFace,513,Gd,TA,Slab,TA,TA,No,GLQ,125,Unf,168,238,862,GasA,TA,Y,SBrkr,1218,528,60,1828,0,0,2,1,4,1,TA,7,Typ,0,NA,Attchd,1978,RFn,1,298,TA,Fa,Y,197,20,172,14,45,87,NA,NA,NA,576,5,2007,WD,Normal,153578
8025,58,RL,70,31793,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,1Story,9,6,2002,2002,Gable,CompShg,HdBoard,Wd Sdng,Stone,136,Gd,TA,PConc,Gd,TA,Gd,Rec,1688,Unf,221,215,1837,GasA,Ex,Y,SBrkr,2088,530,40,3002,1,0,2,0,4,1,Ex,11,Typ,1,Gd,Detchd,1972,NA,3,911,TA,TA,Y,153,123,69,75,102,34,NA,NA,NA,237,8,2008,WD,Normal,494165
8026,63,RL,65,18104,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1955,1953,Gable,CompShg,Plywood,Stucco,None,0,TA,TA,CBlock,TA,TA,No,BLQ,307,Unf,191,106,652,GasA,Ex,Y,SBrkr,878,350,20,1225,0,0,1,0,3,1,Gd,6,Typ,0,NA,Detchd,1976,Fin,1,195,TA,NA,Y,5,51,51,9,115,20,NA,NA,NA,333,7,2008,WD,Normal,100525
8027,58,RL,60,3241,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,4,7,1925,1987,Gable,CompShg,BrkFace,Wd Shng,None,0,TA,Gd,CBlock,TA,TA,No,GLQ,137,Unf,259,985,1078,GasA,Ex,Y,SBrkr,1844,84,7,1455,0,0,1,0,3,2,TA,7,Typ,0,Gd,NA,1955,RFn,1,170,TA,TA,Y,33,57,107,23,35,15,NA,NA,NA,303,7,2008,WD,Normal,135792
8028,73,RM,95,11710,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,7,4,2002,1979,Gable,CompShg,Wd Sdng,Plywood,None,0,Gd,TA,PConc,NA,TA,Av,Unf,236,Unf,111,763,1555,GasA,Ex,Y,SBrkr,1356,309,23,1517,1,0,2,0,2,1,Gd,6,Typ,0,NA,Attchd,1994,Fin,2,541,Fa,TA,Y,47,24,20,71,6,35,NA,NA,NA,35,7,2007,WD,Normal,258710
8029,48,RL,51,10842,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,5,4,1971,1952,Gable,CompShg,HdBoard,Wd Sdng,None,270,TA,TA,BrkTil,Gd,TA,Av,Rec,1243,Unf,302,19,1041,GasA,Ex,Y,SBrkr,1503,380,30,1943,2,0,1,1,3,1,Gd,6,Typ,0,Gd,Detchd,1964,Fin,1,402,TA,TA,Y,200,3,34,10,6,132,NA,NA,NA,228,1,2008,WD,Normal,238537
8030,90,RL,50,5300,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,Duplex,2Story,5,5,1961,1964,Gable,CompShg,HdBoard,MetalSd,None,0,TA,TA,CBlock,TA,Gd,Av,GLQ,374,Unf,172,777,802,GasA,Ex,Y,SBrkr,747,210,99,950,0,0,1,0,3,1,TA,4,Typ,0,NA,BuiltIn,2005,RFn,0,47,TA,TA,Y,32,50,102,6,11,33,NA,MnPrv,NA,543,5,2007,WD,Normal,72318
8031,38,RL,NA,7746,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,TwnhsE,1Story,7,6,1996,1970,Gable,CompShg,CemntBd,Plywood,BrkFace,788,TA,TA,CBlock,Gd,TA,Av,NA,2315,Unf,11,265,1555,GasA,Gd,Y,SBrkr,1715,64,8,1539,1,0,3,0,3,1,Gd,8,Typ,1,TA,Attchd,1954,RFn,2,438,TA,TA,Y,80,53,8,48,44,34,NA,NA,NA,232,4,2007,New,Normal,313894
8032,80,RL,100,2150,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1953,1976,Hip,CompShg,VinylSd,VinylSd,None,285,Gd,Gd,BrkTil,TA,Fa,Av,Unf,293,Unf,87,1026,1176,GasA,TA,Y,SBrkr,1445,47,17,1216,0,0,1,0,3,1,TA,7,Typ,1,NA,Basment,1977,RFn,1,240,TA,TA,Y,184,30,29,16,8,19,NA,NA,NA,65,8,2009,WD,Normal,71896
8033,93,RL,60,3872,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,3,6,1898,1954,Gable,CompShg,Wd Sdng,Plywood,None,0,TA,TA,CBlock,TA,TA,No,GLQ,518,Unf,75,547,930,GasA,TA,Y,SBrkr,706,300,89,1073,0,1,1,0,3,1,TA,6,Typ,0,NA,NA,1990,RFn,1,220,TA,TA,Y,70,20,82,22,16,28,NA,NA,NA,470,9,2008,WD,Normal,50138
8034,85,RL,65,11267,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,7,8,1947,1993,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,TA,TA,No,Unf,182,Unf,83,1324,1183,GasA,Ex,Y,SBrkr,1486,461,74,2029,1,0,2,0,3,1,Gd,8,Typ,1,TA,Detchd,1964,Unf,3,831,TA,TA,Y,288,65,52,6,99,39,NA,NA,NA,47,5,2009,WD,Normal,304710
8035,28,RL,NA,11004,Pave,NA,IR2,Lvl,AllPub,FR2,Gtl,BrkSide,Norm,Norm,1Fam,1Story,8,5,1989,2002,Gable,CompShg,VinylSd,Wd Sdng,BrkFace,166,Gd,TA,PConc,TA,TA,No,Unf,824,Unf,198,1298,2089,GasA,Ex,Y,SBrkr,1576,562,13,2368,0,0,3,1,4,1,Gd,7,Typ,1,Gd,Attchd,2001,Unf,2,698,TA,TA,Y,340,89,91,27,121,14,NA,NA,NA,757,4,2009,WD,Normal,303941
8036,21,RL,53,20300,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,7,7,2002,1989,Gable,CompShg,MetalSd,CmentBd,None,0,Gd,TA,PConc,Gd,TA,No,ALQ,841,Unf,61,299,1112,GasA,Ex,Y,SBrkr,1351,21,71,934,1,0,1,0,2,1,Gd,4,Typ,1,Gd,Attchd,2006,Fin,2,412,TA,TA,Y,150,89,18,19,29,18,NA,NA,NA,699,4,2008,WD,Normal,161964
8037,46,RL,85,15896,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,6,1975,1998,Gable,CompShg,HdBoard,Wd Sdng,BrkFace,137,TA,TA,CBlock,Gd,TA,Gd,BLQ,879,Unf,121,253,1334,GasA,TA,Y,SBrkr,1491,113,16,1537,1,0,3,0,3,1,Gd,8,Typ,1,TA,Detchd,1968,Fin,1,277,TA,TA,Y,224,96,3,45,55,15,NA,NA,NA,188,6,2007,WD,Normal,206428
8038,136,RL,55,2903,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1.5Fin,6,4,1950,1954,Gable,CompShg,MetalSd,Wd Sdng,None,0,TA,TA,PConc,Ex,TA,No,ALQ,223,Unf,99,1186,564,GasA,TA,Y,SBrkr,512,1531,44,1877,0,0,2,1,4,1,TA,8,Typ,0,NA,NA,1998,Unf,1,240,Fa,TA,Y,51,41,35,11,5,18,NA,NA,NA,213,10,2009,WD,Normal,128259
8039,47,RL,130,17755,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,6,1984,1974,Gable,CompShg,CemntBd,Plywood,None,0,TA,TA,CBlock,Gd,TA,Gd,Unf,34,Unf,174,432,983,GasA,Ex,Y,SBrkr,1187,126,9,1078,0,0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,1977,Unf,3,801,TA,TA,Y,5,64,87,15,121,34,NA,NA,NA,42,3,2007,WD,Abnorml,123631
8040,73,RL,NA,10108,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1932,1950,Gable,CompShg,Stucco,AsbShng,None,0,TA,TA,CBlock,TA,TA,No,NA,1268,Unf,158,637,1231,GasA,Ex,Y,SBrkr,808,190,78,886,1,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1931,Unf,2,460,TA,TA,Y,26,24,94,10,66,32,NA,NA,NA,259,10,2006,WD,Normal,91473
8041,60,RL,79,2076,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,7,7,1995,1985,Gable,CompShg,VinylSd,Wd Sdng,BrkFace,650,TA,Gd,CBlock,TA,TA,No,GLQ,954,Unf,14,1057,1172,GasA,Ex,Y,SBrkr,511,557,45,1038,1,0,1,1,2,1,Gd,5,Typ,1,Gd,Attchd,1993,RFn,2,548,TA,TA,Y,223,122,3,50,38,39,NA,NA,NA,119,7,2008,New,Normal,204051
8042,21,FV,85,12972,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,1973,1962,Gable,CompShg,VinylSd,HdBoard,None,0,Gd,TA,CBlock,Gd,TA,No,Unf,14,Unf,167,868,842,GasA,Ex,Y,SBrkr,1243,24,74,778,0,0,0,0,2,1,Gd,4,Typ,0,NA,Attchd,1963,Unf,2,625,TA,TA,Y,1,68,131,48,6,8,NA,NA,NA,738,6,2008,WD,Normal,167539
8043,123,RL,65,3878,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,1Fam,1Story,5,6,1963,1965,Gable,CompShg,CemntBd,CmentBd,None,30,TA,TA,CBlock,TA,TA,No,Unf,199,Unf,217,881,1270,GasA,Ex,Y,SBrkr,1037,497,28,1431,0,0,1,1,3,1,TA,6,Typ,1,NA,Attchd,2007,RFn,1,303,TA,TA,Y,131,90,68,52,82,3,NA,NA,NA,564,8,2007,WD,Normal,79522
8044,131,RL,65,16201,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,7,5,1989,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,219,TA,TA,PConc,TA,TA,No,GLQ,522,Unf,76,163,1286,GasA,Ex,Y,SBrkr,1220,1088,37,2292,0,0,2,0,3,1,Gd,8,Typ,0,NA,Attchd,1952,Unf,3,769,TA,TA,Y,443,37,24,2,41,27,NA,NA,NA,122,9,2007,WD,Normal,222988
8045,77,RL,24,8829,Pave,NA,IR1,HLS,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,5,6,1939,1960,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,Gd,LwQ,861,Unf,85,8,425,GasA,TA,Y,SBrkr,805,127,42,854,1,0,1,0,2,1,TA,5,Typ,0,NA,BuiltIn,1918,Unf,1,257,TA,TA,Y,39,20,31,29,70,21,NA,NA,NA,354,3,2007,WD,Normal,98931
8046,96,RL,74,11300,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1.5Fin,7,4,1968,1978,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,CBlock,Gd,TA,No,BLQ,417,Rec,178,497,1212,GasA,TA,Y,SBrkr,1135,775,16,1896,0,0,2,0,2,1,Gd,8,Typ,1,Gd,Attchd,1971,Unf,1,491,TA,TA,Y,39,117,74,11,130,43,NA,NA,NA,657,4,2007,WD,Normal,136648
8047,35,RL,NA,3116,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,1945,1961,Gable,CompShg,MetalSd,MetalSd,None,1,TA,TA,CBlock,TA,TA,No,BLQ,79,Unf,64,1051,928,GasA,Ex,Y,SBrkr,1238,20,37,972,0,0,1,0,2,1,Gd,4,Typ,0,NA,Detchd,1958,Unf,1,364,TA,TA,Y,131,33,116,7,27,25,NA,NA,NA,702,8,2008,WD,Normal,77409
8048,147,RL,74,9454,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,7,4,2000,1981,Gable,CompShg,VinylSd,MetalSd,Stone,137,Gd,TA,PConc,Gd,TA,No,Unf,426,Unf,56,894,1898,GasA,Ex,Y,SBrkr,1862,544,16,2493,0,0,2,1,3,1,TA,9,Typ,1,NA,Attchd,2004,Fin,3,753,TA,TA,Y,131,9,11,6,97,39,NA,NA,NA,335,7,2007,New,Normal,277293
8049,101,RL,72,10348,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1.5Unf,8,6,2004,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,183,Gd,TA,PConc,Ex,TA,NA,BLQ,1262,ALQ,363,8,1204,GasA,Ex,Y,SBrkr,1410,449,55,2124,1,0,2,0,3,1,TA,10,Typ,1,Gd,BuiltIn,2003,NA,2,291,TA,TA,Y,101,92,36,29,78,9,NA,NA,NA,382,7,2007,WD,Normal,375593
